id,site,plot,tree,SPP,block,modelo,treatment,tratamcarina,wood,popular,spp,dapeq20,dapeq39,dapeq52,dapeq58,g20m2,g39m2,g52m2,g58m2,htotal39,htotal52,htotal58
1,ara,1,1,PBR,1,3,NES,2,FIN,Pau-Brasil,Caesalpinia echinata,,2.74,4.24,4.32,,0.00059,0.00141,0.00147,2.8,3.4,3.7
2,ara,1,2,COR,1,3,NES,2,COM,Corindiba,Trema micrantha,7.16,5.73,,,0.00403,0.00258,,,3.3,,
3,ara,1,3,CED,1,3,NES,2,FIN,Cedro,Cedrela fissilis,2.39,5.41,6.81,7.16,0.00045,0.0023,0.00364,0.00403,4.3,5,5.5
4,ara,1,4,EBR,1,3,NES,2,COM,Embauba-branca,Cecropia hololeuca,5.73,5.09,,,0.00258,0.00203,,,6,,
5,ara,1,5,IPR,1,3,NES,2,FIN,Ipe-roxo,Tabebuia heptaphylla,3.19,0.95,2.21,2.28,0.0008,0.00007,0.00038,0.00041,2.1,2.3,2.3
6,ara,1,6,PTG,1,3,NES,2,COM,Pitanga,Eugenia uniflora,,,,,,,,,0.8,,
7,ara,1,7,PAM,1,3,NES,2,FIN,Peroba-amarela,Paratecoma peroba,,0.8,2.54,3.1,,0.00005,0.00051,0.00075,1.5,2.6,2.7
8,ara,1,8,AGO,1,3,NES,2,COM,Agoniada,Himatanthus sucuuba ,,,1.4,1.72,,,0.00015,0.00023,1.2,1.7,1.8
9,ara,1,9,JTB,1,3,NES,2,FIN,Jatoba,Hymenaea courbaril,,,,,,,,,0,,
10,ara,1,10,FSB,1,3,NES,2,COM,Fruto-de-sabia,Acnistus arborescens,,,,,,,,,0,,
11,ara,1,11,IPF,1,3,NES,2,FIN,Ipe-felpudo,Zeyheria tuberculosa,,3.66,4.17,4.55,,0.00105,0.00137,0.00163,3.1,4.5,4.8
12,ara,1,12,ARO,1,3,NES,2,COM,Aroeira-pimenteira,Schinus terenbitifolius,2.97,6.2,7.42,7.69,0.00069,0.00302,0.00432,0.00465,4.2,4.5,4.3
13,ara,1,13,VIN,1,3,NES,2,FIN,Vinhatico,Plathymenia foliolosa,4.62,10.45,13.08,15.01,0.00168,0.00858,0.01345,0.01769,5.9,6.4,5.6
14,ara,1,14,CMI,1,3,NES,2,COM,Caja-mirim,Spondias spp.,5.12,4.14,4.11,4.17,0.00206,0.00135,0.00133,0.00137,5.2,6,5.2
15,ara,1,15,BRA,1,3,NES,2,FIN,Brauna,Melanoxylon brauna,,,,,,,,,0,,
16,ara,1,16,MUR,1,3,NES,2,COM,Murici,Byrsonima spp.,,,,,,,,,0.5,,
17,ara,1,17,BAL,1,3,NES,2,FIN,Balsamo,Myrocarpus frondosus,,1.11,1.85,2.88,,0.0001,0.00027,0.00065,1.4,2.2,2.5
18,ara,1,18,ARA,1,3,NES,2,COM,Araca,Psidium sp.,,,,,,,,,0.5,,
19,ara,1,19,JBA,1,3,NES,2,FIN,Jacaranda-da-Bahia,Dalbergia nigra,5,5.66,6.03,4.51,0.00197,0.00251,0.00285,0.0016,3.9,4.8,5.2
