plot,treeposition,nome cientifico,Inventário (data),Inventário (meses),status,cap1_cm,cap2_cm,cap3_cm,cap4_cm,cap5_cm,soma_cap,dap1_cm,dap2_cm,dap3_cm,dap4_cm,dap5_cm,htotal_m,OBS
1,1,Caesalpinia echinata,jun/18,83 meses,A,17.5,,,,,17.5,5.57,,,,,4.8,
1,2,Trema micrantha,jun/18,83 meses,M,,,,,,,,,,,,,
1,3,Cedrela fissilis,jun/18,83 meses,A,31.1,,,,,31.1,9.90,,,,,6,
1,4,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
1,5,Tabebuia heptaphylla,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,6,Eugenia uniflora,jun/18,83 meses,B,,,,,,,,,,,,0.8,
1,7,Paratecoma peroba,jun/18,83 meses,B,,,,,,,,,,,,2,
1,8,Himatanthus articulatus,jun/18,83 meses,A,,,,,,,,,,,,1.8,
1,9,Hymenaea courbaril,jun/18,83 meses,M,,,,,,,,,,,,,
1,10,Acnistus arborescens,jun/18,83 meses,M,,,,,,,,,,,,,
1,11,Zeyheria tuberculosa,jun/18,83 meses,A,24,,,,,24,7.64,,,,,6,
1,12,Schinus terenbitifolius,jun/18,83 meses,A,15.5,16.5,17.5,,,49.5,4.93,5.25,5.57,,,4,
1,13,Plathymenia foliolosa,jun/18,83 meses,A,39,51.5,,,,9.5,12.41,16.39,,,,8,
1,14,Spondias spp.,jun/18,83 meses,A,24.5,,,,,24.5,7.80,,,,,5,
1,15,Melanoxylon brauna,jun/18,83 meses,M,,,,,,,,,,,,0.4,
1,16,Byrsonima spp.,jun/18,83 meses,B,,,,,,,,,,,,,
1,17,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,18,Psidium sp.,jun/18,83 meses,B,,,,,,,,,,,,0.45,
1,19,Dalbergia nigra,jun/18,83 meses,A,18.5,25.5,,,,44,5.89,8.12,,,,6,
1,20,Senna multijuga,jun/18,83 meses,A,30,32.5,17,19,25,14.5,9.55,10.35,5.41,6.05,7.96,5.5,
1,21,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,22,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,NR
1,23,Eucalyptus spp.,jun/18,83 meses,A,37.5,27,,,,64.5,11.94,8.59,,,,8,
1,24,Eucalyptus spp.,jun/18,83 meses,A,31,,,,,31,9.87,,,,,7.5,
1,25,Eucalyptus spp.,jun/18,83 meses,A,25,26.5,,,,51.5,7.96,8.44,,,,8,
1,26,Eucalyptus spp.,jun/18,83 meses,A,23.5,40,20.5,,,84,7.48,12.73,6.53,,,9.5,
1,27,Eucalyptus spp.,jun/18,83 meses,A,31.5,26,,,,57.5,10.03,8.28,,,,9,
1,28,Eucalyptus spp.,jun/18,83 meses,A,32,27.5,,,,59.5,10.19,8.75,,,,8.5,
1,29,Eucalyptus spp.,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,8,
1,30,Eucalyptus spp.,jun/18,83 meses,A,37,25,,,,62,11.78,7.96,,,,8.5,
1,31,Eucalyptus spp.,jun/18,83 meses,A,37,,,,,37,11.78,,,,,8,
1,32,Eucalyptus spp.,jun/18,83 meses,A,36,27,23.5,,,86.5,11.46,8.59,7.48,,,7.5,
1,33,Eucalyptus spp.,jun/18,83 meses,A,16,,,,,16,5.09,,,,,4.5,
1,34,Eucalyptus spp.,jun/18,83 meses,A,30.5,,,,,3.5,9.71,,,,,5.5,
1,35,Eucalyptus spp.,jun/18,83 meses,B,,,,,,,,,,,,4,
1,36,Eucalyptus spp.,jun/18,83 meses,A,38,,,,,38,12.10,,,,,9,
1,37,Eucalyptus spp.,jun/18,83 meses,A,40,38.5,20.5,,,99,12.73,12.25,6.53,,,9.5,
1,38,Eucalyptus spp.,jun/18,83 meses,A,36.5,28,30,,,94.5,11.62,8.91,9.55,,,8.5,
1,39,Eucalyptus spp.,jun/18,83 meses,A,20.5,30,,,,5.5,6.53,9.55,,,,8.5,
1,40,Eucalyptus spp.,jun/18,83 meses,A,20.5,,,,,2.5,6.53,,,,,7.5,
1,41,Anadenanthera peregrina ,jun/18,83 meses,A,64.5,,,,,64.5,20.53,,,,,8,
1,42,Pterogyne nitens,jun/18,83 meses,A,,,,,,,,,,,,4,
1,43,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.5,
1,44,Newtonia spp.,jun/18,83 meses,A,28.5,28.5,19,,,76,9.07,9.07,6.05,,,6.5,
1,45,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,2.8,
1,46,Mimosa artemisiana,jun/18,83 meses,A,53,43,33.5,,,129.5,16.87,13.69,10.66,,,10.5,
1,47,Cariniana estrelensis,jun/18,83 meses,B,,,,,,,,,,,,0.7,REBROTA
1,48,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,2.5,
1,49,Cariniana legalis,jun/18,83 meses,A,,,,,,,,,,,,3,
1,50,Peltophorum dubium ,jun/18,83 meses,A,23,21,20,,,64,7.32,6.68,6.37,,,6,
1,51,Anadenanthera peregrina ,jun/18,83 meses,M,,,,,,,,,,,,,
1,52,Pterogyne nitens,jun/18,83 meses,A,17.5,24,23.5,,,65,5.57,7.64,7.48,,,7,
1,53,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.5,
1,54,Newtonia spp.,jun/18,83 meses,M,,,,,,,,,,,,,
1,55,Pterocarpus rohrii,jun/18,83 meses,M,,,,,,,,,,,,,
1,56,Mimosa artemisiana,jun/18,83 meses,A,43.5,34.5,47,,,125,13.85,10.98,14.96,,,9,
1,57,Cariniana estrelensis,jun/18,83 meses,M,,,,,,,,,,,,,
1,58,Parkia pendula,jun/18,83 meses,M,,,,,,,,,,,,,
1,59,Cariniana legalis,jun/18,83 meses,M,,,,,,,,,,,,,
1,60,Peltophorum dubium ,jun/18,83 meses,A,29,,,,,29,9.23,,,,,7,
1,61,Eucalyptus spp.,jun/18,83 meses,A,25,16.5,,,,41.5,7.96,5.25,,,,7.5,
1,62,Eucalyptus spp.,jun/18,83 meses,A,32,26.5,,,,58.5,10.19,8.44,,,,8,
1,63,Eucalyptus spp.,jun/18,83 meses,A,30.5,31.5,16.5,,,78.5,9.71,10.03,5.25,,,8.5,
1,64,Eucalyptus spp.,jun/18,83 meses,B,15,,,,,15,4.77,,,,,5,
1,65,Eucalyptus spp.,jun/18,83 meses,A,33.5,,,,,33.5,10.66,,,,,8,
1,66,Eucalyptus spp.,jun/18,83 meses,A,25.5,36.5,28.5,30.5,,9.5,8.12,11.62,9.07,9.71,,8.5,
1,67,Eucalyptus spp.,jun/18,83 meses,A,36.5,34.5,,,,71,11.62,10.98,,,,7.5,
1,68,Eucalyptus spp.,jun/18,83 meses,A,24,,,,,24,7.64,,,,,8,
1,69,Eucalyptus spp.,jun/18,83 meses,A,21,29.5,,,,5.5,6.68,9.39,,,,8,
1,70,Eucalyptus spp.,jun/18,83 meses,A,32.5,,,,,32.5,10.35,,,,,8,
1,71,Eucalyptus spp.,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,7.5,
1,72,Eucalyptus spp.,jun/18,83 meses,A,33,38.5,,,,71.5,10.50,12.25,,,,8,
1,73,Eucalyptus spp.,jun/18,83 meses,A,38.5,,,,,38.5,12.25,,,,,7.5,
1,74,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,75,Eucalyptus spp.,jun/18,83 meses,A,15.5,37,25.5,,,78,4.93,11.78,8.12,,,7,
1,76,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,77,Eucalyptus spp.,jun/18,83 meses,A,,,,,,,,,,,,,
1,78,Eucalyptus spp.,jun/18,83 meses,A,40,15,,,,55,12.73,4.77,,,,8.5,
1,79,Eucalyptus spp.,jun/18,83 meses,A,43,19,,,,62,13.69,6.05,,,,8.5,
1,80,Eucalyptus spp.,jun/18,83 meses,A,34.5,,,,,34.5,10.98,,,,,8,
1,81,Caesalpinia echinata,jun/18,83 meses,A,18,18,,,,36,5.73,5.73,,,,5,C
1,82,Trema micrantha,jun/18,83 meses,M,,,,,,,,,,,,,
1,83,Cedrela fissilis,jun/18,83 meses,M,,,,,,,,,,,,,
1,84,Cecropia hololeuca,jun/18,83 meses,M,,,,,,,,,,,,,
1,85,Tabebuia heptaphylla,jun/18,83 meses,A,,,,,,,,,,,,3.8,
1,86,Eugenia uniflora,jun/18,83 meses,M,,,,,,,,,,,,,
