id,site,plot,tree,SPP,block,tratamcarina,treatment,wood,name,nome cientifico,status31,status45,status53,status60,dapeq31,dapeq45,dapeq53,dapeq60,g31m2,g45m2,g53m2,g60m2
4801,IGR,5,1,JBA,1,1,NNW,FIN,Jacaranda-da-Bahia,Dalbergia nigra,V,V,V,V,,1.896,2.138,2.756,,0.000282,0.000359,0.000597
4802,IGR,5,2,JAN,1,1,NNW,COM,Janauba,Plumeria sucuuba,M,M,M,M,,,,,,,,
4803,IGR,5,3,PBR,1,1,NNW,FIN,Pau-Brasil,Caesalpinia echinata,V,V,V,V,2.228,2.99,3.37,3.79,0.00039,0.000702,0.000892,0.001128
4804,IGR,5,4,BDB,1,1,NNW,COM,Baba-de-boi,Cordia superba,V,V,V,V,6.857,8.689,9.527,9.611,0.003692,0.005929,0.007128,0.007255
4805,IGR,5,5,PAM,1,1,NNW,FIN,peroba-amarela,Paratecoma peroba,V,V,V,V,5.458,5.86,6.75,7.32,0.00234,0.002697,0.003578,0.004208
4806,IGR,5,6,EBR,1,1,NNW,COM,Embauba-branca,Cecropia hololeuca,V,V,V,V,10.982,12.54,10.82,12.73,0.009472,0.012351,0.009195,0.012728
4807,IGR,5,7,JTB,1,1,NNW,FIN,Jatoba,Hymenaea courbaril,V,V,V,V,2.491,2.86,3.31,3.82,0.000487,0.000642,0.00086,0.001146
4808,IGR,5,8,PTB,1,1,NNW,COM,Pitomba,Talisia coriacea,V,V,V,V,,,,,,,,
4809,IGR,5,9,JBA,1,1,NNW,FIN,Jacaranda-da-Bahia,Dalbergia nigra,V,V,V,V,4.869,4.002,4.199,4.932,0.001862,0.001258,0.001385,0.001911
4810,IGR,5,10,MUL,1,1,NNW,COM,Murici,Byrsonima sericea,V,V,V,V,,,,,,,,
4811,IGR,5,11,BOL,1,1,NNW,INI,Boleira,Joannesia princeps,V,V,V,V,12.414,16.17,18.4,18.21,0.012104,0.020536,0.02659,0.026044
4812,IGR,5,12,CFO,1,1,NNW,INI,cinco-folhas,Sparattosperma leucanthum,V,V,V,V,6.937,7.331,8.868,9.823,0.00378,0.004221,0.006177,0.007579
4813,IGR,5,13,FDG,1,1,NNW,INI,fedegoso,Senna macranthera,V,V,V,V,15.868,20.577,22.015,22.872,0.019777,0.033254,0.038064,0.041088
4814,IGR,5,14,ING,1,1,NNW,INI,Inga,Inga laurina,V,V,V,V,2.766,3.994,4.374,4.99,0.000601,0.001253,0.001503,0.001955
4815,IGR,5,15,FID,1,1,NNW,INI,Mululo,Aegiphila sellowiana,V,V,V,V,,7,7.07,7.099,,0.003848,0.003926,0.003958
4816,IGR,5,16,CMI,1,1,NNW,INI,Caja-do-mato,Spondias venulosa,V,V,V,V,10.393,11.27,11.27,12.16,0.008483,0.009976,0.009976,0.011613
4817,IGR,5,17,IGM,1,1,NNW,INI,Inga-de-metro,Inga edulis,V,V,V,V,5.869,8.886,10.676,11.641,0.002706,0.006202,0.008952,0.010643
4818,IGR,5,18,PVI,1,1,NNW,INI,Pau-viola,Citharexylum myrianthum,V,V,V,V,4.615,4.71,4.74,4.9,0.001673,0.001742,0.001765,0.001886
4819,IGR,5,19,PPO,1,1,NNW,INI,Peito-de-pombo,Tapirira guianensis,V,V,V,V,6.851,6.4,7.1,7.58,0.003686,0.003217,0.003959,0.004513
4820,IGR,5,20,PIM,1,1,NNW,INI,Pinha-da-mata,Annona neosericea,V,V,V,V,4.076,4.468,5.414,5.871,0.001305,0.001568,0.002302,0.002707
4821,IGR,5,21,PUT,1,1,NNW,MED,Putumuju,Centrolobium microchaete,V,V,V,V,4.934,5.79,5.92,6.4,0.001912,0.002633,0.002753,0.003217
4822,IGR,5,22,SAP,1,1,NNW,MED,sapucaia,Lecythis pisonis,V,V,V,V,,1.82,1.85,2.759,,0.00026,0.000269,0.000598
4823,IGR,5,23,ACG,1,1,NNW,MED,angico-cangalha,Mimosa artemisiana,V,V,V,V,13.008,13.02,12.987,10.507,0.013289,0.013314,0.013247,0.00867
4824,IGR,5,24,JER,1,1,NNW,MED,Jequitiba-rosa,Cariniana legalis,V,V,V,V,2.228,4.01,5.41,6.49,0.00039,0.001263,0.002299,0.003308
4825,IGR,5,25,TIM,1,1,NNW,MED,Tamboril,Enterolobium contortisiliquum,V,V,V,V,25.811,24.122,23.863,23.614,0.052324,0.045701,0.044723,0.043795
4826,IGR,5,26,ACJ,1,1,NNW,MED,angico-canjiquinha,Peltophorum dubium,V,V,V,V,5.093,5.67,5.67,6.02,0.002037,0.002525,0.002525,0.002846
4827,IGR,5,27,PAS,1,1,NNW,MED,Pau-sangue,Pterocarpus rohrii,V,V,V,V,1.722,3.452,3.754,5.064,0.000233,0.000936,0.001107,0.002014
4828,IGR,5,28,JUE,1,1,NNW,MED,juerana-vermelha,Parkia pendula,V,V,V,V,3.82,5.22,6.3,7.26,0.001146,0.00214,0.003117,0.00414
4829,IGR,5,29,JEB,1,1,NNW,MED,Jequitiba-branco,Cariniana estrelensis,V,V,V,V,2.935,2.93,3.57,4.2,0.000676,0.000674,0.001001,0.001385
4830,IGR,5,30,ACT,1,1,NNW,MED,angico-curtidor,Anadenanthera peregrina,V,V,V,V,4.051,4.62,4.65,5.09,0.001289,0.001676,0.001698,0.002035
4831,IGR,5,31,BOL,1,1,NNW,INI,Boleira,Joannesia princeps,V,V,V,V,11.777,13.91,14.96,15.6,0.010894,0.015197,0.017577,0.019113
4832,IGR,5,32,CFO,1,1,NNW,INI,cinco-folhas,Sparattosperma leucanthum,V,V,V,V,10.191,14.64,15.72,16.23,0.008157,0.016833,0.019409,0.020688
4833,IGR,5,33,FDG,1,1,NNW,INI,fedegoso,Senna macranthera,V,V,V,V,14.556,17.519,18.306,18.336,0.01664,0.024104,0.026319,0.026407
4834,IGR,5,34,ING,1,1,NNW,INI,Inga,Inga laurina,V,V,V,V,3.491,4.583,5.136,5.578,0.000957,0.00165,0.002071,0.002443
4835,IGR,5,35,FID,1,1,NNW,INI,Mululo,Aegiphila sellowiana,M,M,M,M,,,,,,,,
4836,IGR,5,36,CMI,1,1,NNW,INI,Caja-do-mato,Spondias venulosa,V,V,V,V,11.12,11.52,11.46,12.48,0.009712,0.010423,0.010315,0.012233
4837,IGR,5,37,IGM,1,1,NNW,INI,Inga-de-metro,Inga edulis,V,V,V,V,6,7.51,8.66,9.74,0.002827,0.00443,0.00589,0.007451
4838,IGR,5,38,PVI,1,1,NNW,INI,Pau-viola,Citharexylum myrianthum,V,V,V,V,6.366,6.11,5.89,6.49,0.003183,0.002932,0.002725,0.003308
