plot,treeposition,spp,inventary_date,inventary_month,status,cap1_cm,cap2_cm,cap3_cm,cap4_cm,cap5_cm,soma_cap,dap1_cm,dap2_cm,dap3_cm,dap4_cm,dap5_cm,htotal_m,HCOPA,NS,LO,OBS
1,1,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,5,1.8,3,3,
1,2,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,3,Caesalpinia echinata,jun/18,83 meses,B,,,,,,,,,,,,0.6,0.1,0.3,0.3,
1,4,Cordia superba,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,3.5,3.3,1,1,
1,5,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,6,Cecropia hololeuca,jun/18,83 meses,A,41,,,,,41,13.05,,,,,10.5,9,9,9,
1,7,Hymenaea courbaril,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,4,2.5,3,3.5,
1,8,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,1,0.2,1,0.5,
1,9,Dalbergia nigra,jun/18,83 meses,A,18,,,,,18,5.73,,,,,6,1.5,4,3.5,
1,10,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,4.2,1.5,3,3,
1,11,Anadenanthera peregrina,jun/18,83 meses,A,,,,,,,,,,,,2.2,2,1,1,
1,12,Cariniana estrelensis,jun/18,83 meses,A,27.5,,,,,27.5,8.75,,,,,6.5,2,5,5,
1,13,Parkia pendula,jun/18,83 meses,A,38.5,,,,,38.5,12.25,,,,,8,3,8,7,
1,14,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,4,3.5,2.5,6,
1,15,Peltophorum dubium,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,16,Enterolobium contortisiliquum,jun/18,83 meses,A,31,21.5,,,,52.5,9.87,6.84,,,,8.5,8,6.5,5.5,
1,17,Cariniana legalis,jun/18,83 meses,A,17,,,,,17,5.41,,,,,7,1,5,5,
1,18,Mimosa artemisiana,jun/18,83 meses,A,18.5,24,,,,42.5,5.89,7.64,,,,8.5,7,6.5,9,
1,19,Lecythis pisonis,jun/18,83 meses,A,,,,,,,,,,,,3.2,0.6,3.5,3,
1,20,Centrolobium microchaete,jun/18,83 meses,A,22.5,,,,,22.5,7.16,,,,,9,8,5,5,
1,21,Eucalyptus spp.,jun/18,83 meses,A,74,,,,,74,23.55,,,,,23,20,4.5,4.5,
1,22,Eucalyptus spp.,jun/18,83 meses,A,69.5,,,,,69.5,22.12,,,,,23,21,5.5,6,
1,23,Eucalyptus spp.,jun/18,83 meses,A,68,,,,,68,21.65,,,,,22.5,19.5,4,6.5,
1,24,Eucalyptus spp.,jun/18,83 meses,B,47,,,,,47,14.96,,,,,14,11,1.5,3,
1,25,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,26,Eucalyptus spp.,jun/18,83 meses,A,83.5,,,,,83.5,26.58,,,,,22,20,6,6,
1,27,Eucalyptus spp.,jun/18,83 meses,A,80.5,,,,,8.5,25.62,,,,,23,18,4,4,
1,28,Eucalyptus spp.,jun/18,83 meses,A,79,,,,,79,25.15,,,,,22.5,18,3,3,
1,29,Eucalyptus spp.,jun/18,83 meses,A,81.5,,,,,81.5,25.94,,,,,23,18,4,4,
1,30,Eucalyptus spp.,jun/18,83 meses,A,80.5,,,,,8.5,25.62,,,,,21.5,17,4,4,
1,31,Eucalyptus spp.,jun/18,83 meses,A,56,,,,,56,17.83,,,,,19,18,2,2,
1,32,Eucalyptus spp.,jun/18,83 meses,A,58,,,,,58,18.46,,,,,21,20,2.5,2.5,
1,33,Eucalyptus spp.,jun/18,83 meses,A,53,,,,,53,16.87,,,,,19,18,2,2,
1,34,Eucalyptus spp.,jun/18,83 meses,A,62,,,,,62,19.74,,,,,21,20,2.5,2.5,
1,35,Eucalyptus spp.,jun/18,83 meses,A,63,,,,,63,20.05,,,,,19,17,5,4.5,
1,36,Eucalyptus spp.,jun/18,83 meses,A,42,,,,,42,13.37,,,,,16,13,2.5,3,
1,37,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,15.5,13,3.5,3.5,
1,38,Eucalyptus spp.,jun/18,83 meses,A,48,,,,,48,15.28,,,,,16,13,4,3,
1,39,Eucalyptus spp.,jun/18,83 meses,A,50,,,,,5,15.92,,,,,16,13,4,4,
1,40,Eucalyptus spp.,jun/18,83 meses,A,55.5,,,,,55.5,17.67,,,,,16,13,4,4,
1,41,Byrsonima sericea,jun/18,83 meses,A,,,,,,,,,,,,2.5,1,2,2,
1,42,Caesalpinia echinata,jun/18,83 meses,B,,,,,,,,,,,,0.7,0.3,0.5,0.5,
1,43,Talisia coriacea,jun/18,83 meses,B,,,,,,,,,,,,1.5,1,0.5,0.5,
1,44,Handroanthus impetiginosus,jun/18,83 meses,A,15,,,,,15,4.77,,,,,4,3.5,3.5,3.5,
1,45,Cecropia hololeuca,jun/18,83 meses,A,33,,,,,33,10.5,,,,,11,10,8,6,
1,46,Myrocarpus frondosus,jun/18,83 meses,A,,,,,,,,,,,,1.8,0.3,1,1,
1,47,Cordia superba,jun/18,83 meses,A,,,,,,,,,,,,2.5,2.3,1.5,1.5,
1,48,Dalbergia nigra,jun/18,83 meses,A,,,,,,,,,,,,3,1,2,2,
1,49,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,50,Caesalpinia echinata,jun/18,83 meses,A,17,,,,,17,5.41,,,,,6,4,5.5,5.5,
1,51,Anadenanthera peregrina,jun/18,83 meses,A,24,,,,,24,7.64,,,,,6,4,4.5,3.5,
1,52,Cariniana estrelensis,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,4,3,3.5,3,
1,53,Parkia pendula,jun/18,83 meses,A,,,,,,,,,,,,3.2,2,3,2.5,
1,54,Pterocarpus rohrii,jun/18,83 meses,A,,,,,,,,,,,,3,2,5,4,
1,55,Peltophorum dubium,jun/18,83 meses,B,,,,,,,,,,,,2.7,2.5,1,1,
1,56,Enterolobium contortisiliquum,jun/18,83 meses,A,27.5,,,,,27.5,8.75,,,,,4.5,4.2,5.5,5,
1,57,Cariniana estrelensis,jun/18,83 meses,B,,,,,,,,,,,,2.5,2.2,1,1,
1,58,Mimosa artemisiana,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,59,Lecythis pisonis,jun/18,83 meses,A,15.5,,,,,15.5,4.93,,,,,4.5,1,4,3.5,
1,60,Centrolobium microchaete,jun/18,83 meses,A,16,,,,,16,5.09,,,,,6,5.5,1,1,
1,61,Eucalyptus spp.,jun/18,83 meses,A,54,,,,,54,17.19,,,,,17,16,1.5,1.5,
1,62,Eucalyptus spp.,jun/18,83 meses,A,63.5,,,,,63.5,20.21,,,,,20,18,2,2,
1,63,Eucalyptus spp.,jun/18,83 meses,A,76.5,,,,,76.5,24.35,,,,,24,21,5,7,
1,64,Eucalyptus spp.,jun/18,83 meses,A,50,,,,,5,15.92,,,,,15,14,1.5,1.5,
1,65,Eucalyptus spp.,jun/18,83 meses,A,47,,,,,47,14.96,,,,,15.5,14,1,1,
1,66,Eucalyptus spp.,jun/18,83 meses,A,90.5,,,,,9.5,28.81,,,,,23,20,6,5,
1,67,Eucalyptus spp.,jun/18,83 meses,A,87,,,,,87,27.69,,,,,21.5,19,4.5,4.5,
1,68,Eucalyptus spp.,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,69,Eucalyptus spp.,jun/18,83 meses,A,72,,,,,72,22.92,,,,,20.5,18,4,4,
1,70,Eucalyptus spp.,jun/18,83 meses,A,86,,,,,86,27.37,,,,,21.5,19,3.5,3.5,
1,71,Eucalyptus spp.,jun/18,83 meses,A,70,,,,,7,22.28,,,,,20,19,2.5,2.5,
1,72,Eucalyptus spp.,jun/18,83 meses,A,55,,,,,55,17.51,,,,,18,16,2,2,
1,73,Eucalyptus spp.,jun/18,83 meses,A,57,,,,,57,18.14,,,,,21,19,2.5,2.5,
1,74,Eucalyptus spp.,jun/18,83 meses,A,56,,,,,56,17.83,,,,,18,17,2,2,
1,75,Eucalyptus spp.,jun/18,83 meses,A,64.5,,,,,64.5,20.53,,,,,20,17.5,6.5,4.5,
1,76,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,18,15,3,3,
1,77,Eucalyptus spp.,jun/18,83 meses,A,61,,,,,61,19.42,,,,,21,17,5.5,6.5,
1,78,Eucalyptus spp.,jun/18,83 meses,A,46.5,,,,,46.5,14.8,,,,,17,13,2.5,3,
1,79,Eucalyptus spp.,jun/18,83 meses,A,46,,,,,46,14.64,,,,,19,17,4.5,3.5,
1,80,Eucalyptus spp.,jun/18,83 meses,A,60.5,,,,,6.5,19.26,,,,,22,20,5,4,
1,81,Dalbergia nigra,jun/18,83 meses,A,25.5,,,,,25.5,8.12,,,,,10,7,5,5,
1,82,Himatanthus articulatus,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,83,Caesalpinia echinata,jun/18,83 meses,A,15,,,,,15,4.77,,,,,3.5,2,4.5,4.5,
1,84,Cordia superba,jun/18,83 meses,A,25,,,,,25,7.96,,,,,5,2.5,4,5.5,
1,85,Paratecoma peroba,jun/18,83 meses,M,,,,,,,,,,,,,,,,
1,86,Cecropia hololeuca,jun/18,83 meses,A,26,,,,,26,8.28,,,,,9.5,6,4,4,
1,87,Hymenaea courbaril,jun/18,83 meses,A,16,,,,,16,5.09,,,,,4,2,3,3.5,
1,88,Talisia coriacea,jun/18,83 meses,A,,,,,,,,,,,,3.2,0.5,2.5,2.5,
1,89,Dalbergia nigra,jun/18,83 meses,A,26.5,,,,,26.5,8.44,,,,,10,5,5.5,6,
1,90,Byrsonima sericea,jun/18,83 meses,A,23,,,,,23,7.32,,,,,5,1,4.5,4.5,
