Site,plot,treatm,Bl,ID,Sub,G1,G2,Above_PAR,Below_PAR,LAI,R_FR
ARA,3,EEW,1,31,1,6.25,0,1783,557.3,2.45,
ARA,3,EEW,1,32,2,0,0,1783,557.3,2.45,
ARA,3,EEW,1,33,3,6.25,6.25,1783,557.3,2.45,
ARA,3,EEW,1,34,4,12.5,0,1783,557.3,2.45,
ARA,3,EEW,1,35,5,6.25,6.25,1783,557.3,2.45,
ARA,3,EEW,1,36,6,31.25,0,1783,557.3,2.45,
ARA,3,EEW,1,37,7,0,12.5,1783,557.3,2.45,
ARA,3,EEW,1,38,8,12.5,0,1783,557.3,2.45,
ARA,3,EEW,1,39,9,0,0,1783,557.3,2.45,
ARA,3,EEW,1,40,10,12.5,0,1783,557.3,2.45,
ARA,5,EEW,2,71,1,12.5,0,1876,861,2,
ARA,5,EEW,2,72,2,6.25,0,1876,861,2,
ARA,5,EEW,2,73,3,18.75,12.5,1876,861,2,
ARA,5,EEW,2,74,4,6.25,0,1876,861,2,
ARA,5,EEW,2,75,5,6.25,0,1876,861,2,
ARA,5,EEW,2,76,6,0,0,1876,861,2,
ARA,5,EEW,2,77,7,12.5,12.5,1876,861,2,
ARA,5,EEW,2,78,8,6.25,0,1876,861,2,
ARA,5,EEW,2,79,9,0,0,1876,861,2,
ARA,5,EEW,2,80,10,6.25,0,1876,861,2,
ARA,18,EEW,4,151,1,6.25,6.25,1853.6,676.4,2.28,
ARA,18,EEW,4,152,2,25,37.5,1853.6,676.4,2.28,
ARA,18,EEW,4,153,3,6.25,6.25,1853.6,676.4,2.28,
ARA,18,EEW,4,154,4,0,6.25,1853.6,676.4,2.28,
ARA,18,EEW,4,155,5,6.25,0,1853.6,676.4,2.28,
ARA,18,EEW,4,156,6,0,0,1853.6,676.4,2.28,
ARA,18,EEW,4,157,7,6.25,6.25,1853.6,676.4,2.28,
ARA,18,EEW,4,158,8,6.25,6.25,1853.6,676.4,2.28,
ARA,18,EEW,4,159,9,0,0,1853.6,676.4,2.28,
ARA,18,EEW,4,160,10,18.75,25,1853.6,676.4,2.28,
ARA,23,EEW,5,191,1,0,0,1807.2,600.6,2.27,
ARA,23,EEW,5,192,2,0,0,1807.2,600.6,2.27,
ARA,23,EEW,5,193,3,6.25,6.25,1807.2,600.6,2.27,
ARA,23,EEW,5,194,4,0,6.25,1807.2,600.6,2.27,
ARA,23,EEW,5,195,5,6.25,6.25,1807.2,600.6,2.27,
ARA,23,EEW,5,196,6,12.5,12.5,1807.2,600.6,2.27,
ARA,23,EEW,5,197,7,6.25,6.25,1807.2,600.6,2.27,
ARA,23,EEW,5,198,8,12.5,18.75,1807.2,600.6,2.27,
ARA,23,EEW,5,199,9,0,0,1807.2,600.6,2.27,
ARA,23,EEW,5,200,10,12.5,12.5,1807.2,600.6,2.27,
ARA,24,EEW,3,111,1,18.75,18.75,1820.3,826.1,1.74,
ARA,24,EEW,3,112,2,0,0,1820.3,826.1,1.74,
ARA,24,EEW,3,113,3,0,0,1820.3,826.1,1.74,
ARA,24,EEW,3,114,4,0,0,1820.3,826.1,1.74,
ARA,24,EEW,3,115,5,0,0,1820.3,826.1,1.74,
ARA,24,EEW,3,116,6,0,0,1820.3,826.1,1.74,
ARA,24,EEW,3,117,7,6.25,6.25,1820.3,826.1,1.74,
ARA,24,EEW,3,118,8,6.25,0,1820.3,826.1,1.74,
ARA,24,EEW,3,119,9,0,6.25,1820.3,826.1,1.74,
ARA,24,EEW,3,120,10,31.25,25,1820.3,826.1,1.74,
ARA,7,NED,2,61,1,0,0,1856.7,1011.4,1.62,
