sitio,parcela,Tratamento,Tratamento Nº,Bloco Nº,IAF_pre,IAF_pos,IAF_7ms
ARA,2,NNW,1,1,2.87,2.87,3.6
ARA,20,NNW,1,2,2.51,2.51,2.57
ARA,10,NNW,1,3,2.37,2.37,4.68
ARA,27,NNW,1,4,2.61,2.61,3.79
ARA,40,NNW,1,5,1.53,1.53,4.18
ARA,1,NES,2,1,2.29,0.1,2.23
ARA,6,NES,2,2,1.87,0.07,0.94
ARA,11,NES,2,3,1.54,0.15,1.22
ARA,19,NES,2,4,2.87,0.32,0.86
ARA,21,NES,2,5,2.39,0.07,1.53
ARA,15,NED,3,1,2.3,0.59,2.11
ARA,7,NED,3,2,1.62,0.46,1.31
ARA,12,NED,3,3,1.62,0.42,1.62
ARA,16,NED,3,4,2.51,0.6,1.64
ARA,9,NED,3,5,2.01,0.45,1.79
ARA,3,EEW,4,1,2.45,2.45,0.54
ARA,5,EEW,4,2,2,2,0.22
ARA,24,EEW,4,3,1.74,1.74,0.87
ARA,18,EEW,4,4,2.28,2.28,0.11
ARA,23,EEW,4,5,2.27,2.27,0.29
