Plot,Treatm,Bl,sub,ID,small,big,Fieldname,lifeform
7,4,2,,,1,,Acácia mangium,
16,4,1,,,1,1,Acácia mangium,
27,1,4,,,1,,Acácia mangium,
40,1,5,3,1,1,,Acácia mangium,
9,4,3,1,1,1,,Aegiphila sp.,Tree
7,4,2,,,1,,Algodoeiro,Tree
7,4,2,7,2,1,,Algodoeiro,Tree
16,4,1,,,2,,Algodoeiro,Tree
16,4,1,,,1,,Algodoeiro,Tree
16,4,1,9,1,1,,Algodoeiro,Tree
19,2,2,,,2,,Algodoeiro,Tree
16,4,1,,,1,,Solanum com espinho,
2,1,1,9,,1,,Arbusto indeterminado,
9,4,3,,,1,,Asteraceae 1,
12,5,3,3,2,1,,Asteraceae 1,
27,1,4,6,1,1,,Asteraceae 1,
27,1,4,9,4,1,1,Asteraceae 1,
27,1,4,10,3,3,,Asteraceae 1,
40,1,5,,,1,,Asteraceae 1,
40,1,5,8,19,17,,Asteraceae 1,
40,1,5,9,1,1,,Asteraceae 1,
7,4,2,,,2,,Cordia,Tree
7,4,2,6,5,2,,Cordia,Tree
7,4,2,,,6,,Cordia,Tree
10,1,3,3,1,1,,Cordia,Tree
15,5,1,,,1,,Cordia,Tree
16,4,1,7,4,1,,Cordia,Tree
19,2,2,6,2,1,1,Cordia,Tree
21,2,3,,,1,,Cordia,Tree
15,5,1,1,5,,1,Cordia,Tree
6,3,2,,,1,,Crotalaria sp.,
7,4,2,4,1,1,,Crotalaria sp.,
7,4,2,,,1,,Crotalaria sp.,
12,5,3,7,1,1,,Crotalária sp. 2,
40,1,5,7,1,1,,Crotalária sp. 2,
15,5,1,1,,1,,Indeterminado,Tree
15,5,1,,,1,,Indeterminado,Tree
2,1,1,4,,1,,Indeterminado 1,Tree
6,3,2,,,1,,Indeterminado 1,Tree
6,3,2,,,,1,Indeterminado 1,Tree
6,3,2,,,1,,Indeterminado 1,Tree
6,3,2,9,1,1,,Indeterminado 1,Tree
6,3,2,10,7,1,,Indeterminado 1,Tree
15,5,1,1,,,1,Indeterminado 1,Tree
15,5,1,2,1,,1,Indeterminado 1,Tree
15,5,1,4,2,2,,Indeterminado 1,Tree
15,5,1,6,4,4,,Indeterminado 1,Tree
15,5,1,10,3,2,,Indeterminado 1,Tree
15,5,1,,,,1,Indeterminado 1,Tree
2,1,1,2,6,5,1,Indeterminado 1,Tree
15,5,1,5,3,3,,Indeterminado 1,Tree
6,3,2,,,2,,Indeterminado 2,Tree
6,3,2,6,15,,11,Indeterminado 2,Tree
6,3,2,,,4,,Indeterminado 2,Tree
6,3,2,,,,1,Indeterminado 3,Tree
7,4,2,2,4,2,1,Indeterminado 4,Tree
7,4,2,3,0,,1,Indeterminado 5,Tree
19,2,2,10,5,1,,Indeterminado 6,Tree
20,1,2,3,2,1,,Indeterminado 7,Tree
20,1,2,10,1,1,,Indeterminado 8,Tree
11,3,3,9,2,1,,Indeterminado 9,Tree
10,1,3,,,1,,Inga sp.,Tree
6,3,2,8,3,,1,Lipia sp.,
7,4,2,,,,1,Lipia sp.,
15,5,1,1,,,1,Lipia sp.,
16,4,1,4,1,,1,Lipia sp.,
21,2,3,1,1,1,,Lipia sp.,
40,1,5,1,1,1,,Lipia sp.,
6,3,2,7,3,1,,Malvaceae 1,Tree
6,3,2,,,1,,Mimosa,
10,1,3,4,1,,1,Mimosa,
10,1,3,9,3,,3,Mimosa,
16,4,1,,,1,,Mimosa,
20,1,2,2,2,2,,Mimosa,
40,1,5,,,1,,Myrtaceae sp. 1,Tree
20,1,2,,,1,,Peltophorum dubium,Tree
2,1,1,1,1,,1,Schinus terebinthifolius,Tree
6,3,2,5,5,3,,Schinus terebinthifolius,Tree
7,4,2,,,1,,Schinus terebinthifolius,Tree
7,4,2,,,4,,Schinus terebinthifolius,Tree
9,4,3,10,2,1,,Schinus terebinthifolius,Tree
10,1,3,2,3,2,,Schinus terebinthifolius,Tree
12,5,3,,,1,,Schinus terebinthifolius,Tree
15,5,1,7,3,1,,Schinus terebinthifolius,Tree
19,2,2,,,2,,Schinus terebinthifolius,Tree
20,1,2,1,1,1,,Schinus terebinthifolius,Tree
21,2,3,2,2,1,,Schinus terebinthifolius,Tree
21,2,3,,,1,,Schinus terebinthifolius,Tree
21,2,3,8,2,2,,Schinus terebinthifolius,Tree
