species,Origin,NAT,NED,EUC,lifeform
Schinus terebinthifolia Raddi,N,22,10,7,tree
Forsteronia sp. G.Mey.,N,0,0,1,Arbusto
Sansevieria trifasciata Prain,E,4,0,0,Erva
Asteraceae sp.14 ,NC,0,1,0,Erva
Asteraceae sp.17 ,NC,0,1,0,Liana/trepadeira
Asteraceae sp.19 ,NC,1,0,0,Liana/trepadeira
Porophyllum ruderale (Jacq.) Cass.,N,0,0,1,Erva
Commelinaceae sp. ,NC,13,6,2,Erva
Dalechampia brasiliensis Lam.,N,11,14,15,Liana/trepadeira
Acacia mangium Willd.,E,0,1,0,Arbusto
Chamaecrista sp. Moench,NC,4,0,0,Arbusto
Clitoria selloi Benth.,N,0,8,0,Liana/trepadeira
Desmodium adscendens (Sw.) DC.,E,1,0,0,Subarbusto
Desmodium sp.3 Desv.,NC,2,16,10,Liana/trepadeira
Desmodium sp.4 Desv.,NC,0,0,1,Arbusto
Fabaceae sp.2 ,NC,0,0,1,Liana/trepadeira
Fabaceae sp.3 ,NC,95,30,21,Liana/trepadeira
Fabaceae sp.4 ,NC,43,5,15,Liana/trepadeira
Fabaceae sp.5 ,NC,0,1,0,Liana/trepadeira
Inga laurina (Sw.) Willd.,N,1,0,0,tree
Mimosa artemisiana Heringer & Paula,N,10,0,0,tree
Eschweilera ovata (Cambess.) Mart. ex Miers,N,0,0,1,tree
Lecythidaceae sp. ,NC,0,0,1,tree
Malvaceae sp.1 ,NC,4,0,0,tree
Malvaceae sp.3 ,NC,0,0,1,Arbusto
Malvaceae sp.4 ,NC,1,0,0,Erva
Malvaceae sp.5 ,NC,0,0,1,Arbusto
Malvaceae sp.6 ,NC,5,2,2,Arbusto
Malvaceae sp.9 ,NC,13,0,1,Erva
Malvaceae sp.10 ,NC,0,1,0,Arbusto
Malvaceae sp.11 ,NC,0,1,0,Arbusto
Pavonia malacophylla (Link & Otto) Garcke,N,1,1,1,Arbusto
Sida cordifolia L.,N,1,0,1,Subarbusto
Sida galheirensis Ulbr.,N,4,0,0,Subarbusto
Pera glabrata (Schott) Poepp. ex Baill.,N,0,0,1,tree
Phyllanthus niruri L.,N,1,0,0,Erva
Borreria verticillata (L.) G.Mey.,N,143,22,10,Subarbusto
Solanum polytrichum Moric.,N,1,0,5,Arbusto
Solanum sp. L.,NC,4,0,0,Arbusto
Aloysia virgata (Ruiz & Pav.) Juss.,N,0,0,1,tree
Lantana camara L.,N,1,1,2,Arbusto
Indeterminada 6 ,NC,0,1,0,Liana/trepadeira
Indeterminada 7 ,NC,0,1,0,Erva
Indeterminada 8 ,NC,0,3,0,Liana/trepadeira
Indeterminada 9 ,NC,0,0,2,Liana/trepadeira
Indeterminada 10 ,NC,0,1,3,Liana/trepadeira
