fieldname,NAT4,CCC4,CSC4
Aegiphila,1,,
Alchornea,6,2,
Amendoim do mato,1,1,2
Aroeira pimenteira,,,1
Caiçara,5,8,4
Cana de macaco,,2,
Candeia branca,,2,
Canela de velho,,1,
Capororoca,1,,1
Capororoca 1,7,5,5
Caroba,,1,
Casearia sp.,,,1
Embaúba,12,29,21
Erva cheirosa,,1,
Erva lanuda,,1,
Euforbiaceae árvore,1,,
Folha fogo,20,34,21
Gameleira (Ficus sp.),1,2,4
Goiaba,,1,1
Ingá sp.,1,,
Jenipapo do mato/Miconia folha larga,,,1
Jubebão com espinho,,,1
Jubebinha,1,2,1
Lagarteiro,9,9,14
Landi,,,1
Landirana,,1,
Levante,,,1
Louro folhão,1,2,1
Mamiqué,21,17,16
Mata pasto,,1,1
Mata pulga,,,1
Mato novo,1,,
Morototó,13,12,8
Mundururu branco,10,7,9
Mundururu folha larga,3,,
Mundururu preto,2,2,5
Murici preto,3,5,1
Pau pombo,7,2,11
Pé de galinha,1,2,
Peito pombo,2,,1
Pequi de caipora,1,,
Pinha,,,1
Psidium sp.,1,1,
Rabujo cachorro,1,3,4
Rapigibão,12,7,3
Senna macranthera,8,,
Senna sp.,,,1
Solteira,6,11,12
Solteirinha,,,1
Taboa,,1,
Taipoca,1,,
Tamanqueiro,2,1,2
Taquari,5,2,4
