Species_name,Origem,NAT1,CCC1,CSC1,NAT2,CCC2,CSC2,NAT3,CCC3,CSC3,lifeform
Acnistus arborescens (L.) Schltdl.,N,1,4,0,3,4,0,3,2,0,Arbusto
Schinus terebinthifolia Raddi,N,1,0,0,1,0,0,2,0,0,Árvore
Tapirira guianensis Aubl.,N,0,0,0,3,0,0,5,1,3,Árvore
Annona neosericea H.Rainer,N,0,0,0,1,0,0,0,0,0,Árvore
Schefflera morototoni (Aubl.) Maguire et al.,N,30,14,10,27,10,8,21,7,9,Árvore
Sparattosperma leucanthum (Vell.) K.Schum.,N,0,0,0,0,0,0,1,0,0,Árvore
Cordia myxa L.,E,0,1,0,0,0,0,0,0,0,Árvore
Cordia sp. L.,NC,0,1,0,0,0,0,0,0,0,Árvore
Cordia superba Cham.,N,0,0,1,0,0,0,0,0,0,Árvore
Trema micrantha (L.) Blume,N,54,54,47,12,22,8,1,7,2,Árvore
Alchornea glandulosa Poepp. & Endl.,N,5,3,0,6,2,1,3,3,0,Árvore
Hyeronima alchorneoides Allemão,N,2,1,0,6,0,0,2,0,0,Árvore
Tetrorchidium rubrivenium Poepp.,N,0,0,0,1,1,0,0,1,0,Árvore
Dalbergia nigra (Vell.) Allemão ex Benth.,N,0,1,0,0,0,0,0,0,0,Árvore
Inga sp. Mill.,NC,0,0,0,0,0,0,1,0,0,Árvore
Swartzia psilonema Harms,N,0,0,0,0,0,0,1,0,0,Árvore
Vismia guianensis (Aubl.) Choisy,N,6,4,1,2,3,0,5,4,0,Árvore
Aegiphila integrifolia (Jacq.) Moldenke,N,1,0,1,8,2,1,1,3,3,Árvore
Ocotea puberula (Rich.) Nees,N,0,0,0,1,0,0,2,0,0,Árvore
Byrsonima sericea DC.,N,0,0,1,0,0,0,0,0,0,Árvore
Miconia calvescens DC.,N,0,0,0,3,0,1,1,1,4,Árvore
Miconia cinnamomifolia (DC.) Naudin,N,4,10,4,8,13,18,10,15,18,Árvore
Miconia serrulata (DC.) Naudin,N,1,0,2,3,2,2,4,0,1,Árvore
Ficus obtusiuscula (Miq.) Miq.,N,1,2,7,1,1,2,0,0,2,Árvore
Ficus sp. L.,NC,0,0,0,0,0,0,0,1,0,Árvore
Virola gardneri (A.DC.) Warb.,N,0,0,0,0,0,0,1,0,0,Árvore
Psidium guajava L.,E,0,1,1,0,0,0,0,0,0,Árvore
Psidium guineense Sw.,N,8,1,0,7,3,1,10,2,1,Árvore
Polygonaceae sp. ,NC,1,1,14,0,0,0,0,0,0,Árvore
Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,N,4,0,2,4,0,2,7,0,1,Árvore
Prunus sp. L.,NC,1,0,0,0,0,0,0,0,0,Árvore
Banara brasiliensis (Schott) Benth.,N,0,10,0,0,0,0,0,1,0,Árvore
Casearia sylvestris Sw.,N,0,0,1,0,0,0,0,0,0,Árvore
Cecropia sp. Loefl.,NC,115,84,101,68,90,81,30,62,36,Árvore
Citharexylum myrianthum Cham.,N,2,0,2,2,0,1,3,0,0,Árvore
