Data_Coleta,plot,Modelo,Bloco,ID_Parc,Subparcela,N_reg,small,big,fieldname,sp,Author,species,Family,Disp,lifeform,origin
01/mai/15,1,3_NE_semcolheita,1,16,4,1,1,0,Assapeixe,Asteraceae sp.9,,Asteraceae sp.9 ,Asteraceae,Abiotic,Arbusto,Não ID
01/mai/15,1,3_NE_semcolheita,1,17,5,1,1,0,corindiba,Trema micrantha,(L.) Blume,Trema micrantha (L.) Blume,Cannabaceae,Zoo,tree,Nativa
01/mai/15,1,3_NE_semcolheita,1,13,1,1,1,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,14,2,1,1,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,14,2,1,1,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,16,4,2,2,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,17,5,1,1,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,18,6,1,1,0,Agapirim ou folha-fogo,Clidemia hirta,(L.) D.Don,Clidemia hirta (L.) D.Don,Melastomataceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,18,6,1,1,0,pequi-solteiro,Miconia cinnamomifolia,(DC.) Naudin,Miconia cinnamomifolia (DC.) Naudin,Melastomataceae,Zoo,tree,Nativa
01/mai/15,1,3_NE_semcolheita,1,14,2,1,1,0,Ficus ,Ficus obtusiuscula,(Miq.) Miq.,Ficus obtusiuscula (Miq.) Miq.,Moraceae,Zoo,tree,Nativa
01/mai/15,1,3_NE_semcolheita,1,14,2,3,3,0,Piper redondo,Piper umbellatum,L.,Piper umbellatum L.,Piperaceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,14,2,1,1,0,Piper simples,Piper malacophyllum,(C.Presl) C.DC.,Piper malacophyllum (C.Presl) C.DC.,Piperaceae,Zoo,Arbusto,Nativa
01/mai/15,1,3_NE_semcolheita,1,16,4,1,1,0,capororoca,Myrsine coriacea,(Sw.) R.Br. ex Roem. & Schult.,Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.,Primulaceae,Zoo,tree,Nativa
